German,stewart,3	
German,senna,3	
United States,clark,3	
Belgian,damon_hill,3	
Belgian,massa,1	
British,rosberg,1	
French,fagioli,1	
Belgian,nilsson,1	
Malaysian,ralf_schumacher,1	
Dutch,jack_brabham,2	
European,alonso,3	
Bahrain,rosberg,1	
San Marino,tambay,1	
Bahrain,massa,2	
Brazilian,button,1	
Australian,damon_hill,2	
Spanish,raikkonen,2	
Monaco,webber,2	
Brazilian,vettel,3	
British,siffert,1	
name,driverId_Ref,1	
Spanish,senna,2	
Austrian,peterson,2	
South African,stewart,2	
Austrian,ickx,1	
Canadian,laffite,1	
Monaco,michael_schumacher,5	
Hungarian,boutsen,1	
Spanish,hunt,1	
Canadian,emerson_fittipaldi,1	
Brazilian,mansell,2	
Belgian,rodriguez,1	
French,arnoux,1	
German,surtees,2	
Swiss,ascari,1	
Russian,bottas,1	
Spanish,fangio,1	
Italian,herbert,1	
Mexican,hamilton,1	
French,baghetti,1	
Monaco,hulme,1	
Hungarian,vettel,2	
Austrian,siffert,1	
Caesars Palace,alboreto,1	
Monaco,depailler,1	
Swiss,farina,1	
Argentine,mclaren,1	
Belgian,pironi,1	
Australian,senna,2	
Caesars Palace,jones,1	
Spanish,mario_andretti,2	
Luxembourg,villeneuve,1	
Monaco,mclaren,1	
Australian,coulthard,2	
French,prost,6	
French,ascari,1	
Austrian,laffite,1	
Swedish,hulme,1	
Swiss,keke_rosberg,1	
Italian,hamilton,4	
Mexican,patrese,1	
San Marino,coulthard,1	
Italian,damon_hill,2	
Luxembourg,hakkinen,1	
Belgian,gurney,1	
Monaco,hill,5	
Canadian,piquet,3	
Bahrain,button,1	
South African,jack_brabham,1	
Belgian,hakkinen,1	
Canadian,senna,2	
Spanish,hakkinen,3	
Belgian,surtees,1	
Mexican,prost,2	
San Marino,ralf_schumacher,1	
Monaco,gilles_villeneuve,1	
Mexican,ickx,1	
French,jabouille,1	
British,michael_schumacher,3	
Brazilian,emerson_fittipaldi,2	
Italian,farina,1	
Brazilian,michael_schumacher,4	
Detroit,senna,3	
Australian,boutsen,1	
Argentine,villeneuve,1	
Turkish,vettel,1	
Hungarian,button,2	
Belgian,mario_andretti,1	
South African,hulme,1	
San Marino,frentzen,1	
Belgian,collins,1	
British,vettel,1	
Italian,peterson,3	
United States,peterson,1	
Chinese,rosberg,2	
Italian,ascari,2	
Portuguese,coulthard,1	
Bahrain,vettel,3	
Belgian,phil_hill,1	
Italian,scheckter,1	
Brazilian,arnoux,1	
Turkish,button,1	
German,piquet,3	
Australian,irvine,1	
British,farina,1	
Hungarian,barrichello,1	
Indianapolis 500,bryan,1	
Belgian,reutemann,1	
Spanish,maldonado,1	
Austrian,hakkinen,2	
Spanish,mansell,3	
Swedish,laffite,1	
German,berger,2	
Canadian,hamilton,6	
Brazilian,raikkonen,1	
Moroccan,moss,1	
British,moss,2	
Italian,barrichello,3	
Turkish,hamilton,1	
South African,mansell,2	
Chinese,button,1	
Argentine,laffite,1	
United States,senna,2	
Brazilian,pace,1	
Bahrain,michael_schumacher,1	
Chinese,vettel,1	
Austrian,angelis,1	
Italian,hill,1	
Indianapolis 500,wallard,1	
British,montoya,1	
Japanese,michael_schumacher,6	
French,piquet,1	
German,brooks,2	
German,jack_brabham,1	
Dutch,prost,2	
Italian,coulthard,1	
Canadian,jones,2	
Korean,alonso,1	
Monaco,coulthard,2	
Russian,rosberg,1	
French,coulthard,1	
Austrian,bandini,1	
Indianapolis 500,sweikert,1	
Italian,mario_andretti,1	
Monaco,beltoise,1	
British,collins,1	
Canadian,boutsen,1	
Japanese,hakkinen,2	
Hungarian,webber,1	
British,ascari,2	
United States,mclaren,1	
Brazilian,prost,6	
Brazilian,hamilton,1	
Italian,stewart,2	
Italian,phil_hill,2	
Italian,hulme,1	
United States,ireland,1	
Austrian,reutemann,1	
Monaco,vettel,2	
French,massa,1	
United States,reutemann,3	
Italian,michael_schumacher,5	
European,villeneuve,1	
Portuguese,damon_hill,1	
French,jack_brabham,3	
Belgian,lauda,2	
Belgian,stewart,1	
German,irvine,1	
Dutch,ascari,2	
German,ickx,2	
Mexican,senna,1	
Mexican,hill,1	
Monaco,lauda,2	
Hungarian,mansell,1	
Italian,brooks,1	
Belgian,mansell,1	
French,collins,1	
Spanish,rosberg,1	
Brazilian,villeneuve,1	
German,michael_schumacher,4	
Australian,raikkonen,2	
Indianapolis 500,hanks,1	
Spanish,massa,1	
Austrian,michael_schumacher,2	
Hungarian,raikkonen,1	
Malaysian,raikkonen,2	
European,rosberg,1	
Malaysian,irvine,1	
Australian,piquet,1	
Austrian,prost,3	
German,ascari,2	
South African,lauda,3	
Australian,vettel,2	
United States,barrichello,1	
German,alboreto,1	
Brazilian,piquet,2	
San Marino,senna,3	
Argentine,piquet,1	
French,clark,2	
Dutch,bonnier,1	
Argentine,michael_schumacher,1	
Korean,vettel,3	
Argentine,scheckter,1	
Dutch,piquet,1	
Spanish,vettel,1	
United States,moss,1	
Singapore,rosberg,1	
United States,gilles_villeneuve,2	
European,barrichello,2	
Dutch,stewart,3	
Monaco,jack_brabham,1	
French,brooks,1	
German,ralf_schumacher,1	
British,scheckter,1	
Portuguese,berger,1	
British,webber,2	
Mexican,ginther,1	
United States,lauda,2	
Detroit,alboreto,1	
Belgian,mclaren,1	
Australian,berger,2	
Austrian,irvine,1	
Japanese,senna,2	
South African,peterson,1	
Dutch,trips,1	
Canadian,mansell,1	
British,mansell,4	
German,montoya,1	
British,prost,5	
Australian,alonso,1	
Malaysian,alonso,3	
Brazilian,fisichella,1	
European,senna,1	
Canadian,raikkonen,1	
San Marino,pironi,1	
Japanese,vettel,4	
Austrian,jones,2	
Italian,vettel,3	
Spanish,hamilton,2	
Hungarian,alonso,1	
Chinese,raikkonen,1	
British,jack_brabham,3	
German,hunt,1	
Italian,mansell,1	
Belgian,jack_brabham,1	
Canadian,button,1	
Japanese,damon_hill,2	
Russian,hamilton,2	
Spanish,emerson_fittipaldi,2	
Belgian,fangio,3	
Italian,frentzen,1	
Malaysian,button,1	
Dutch,mario_andretti,1	
Hungarian,hamilton,5	
Malaysian,michael_schumacher,3	
French,ickx,1	
Japanese,hamilton,4	
Japanese,rosberg,1	
British,hunt,1	
Australian,button,3	
Malaysian,vettel,4	
Argentine,hulme,1	
Canadian,jack_brabham,1	
Brazilian,hakkinen,2	
Spanish,webber,1	
European,piquet,1	
South African,reutemann,1	
Dutch,jones,1	
Monaco,raikkonen,1	
Australian,michael_schumacher,4	
Hungarian,hakkinen,2	
Belgian,prost,2	
Italian,senna,2	
United States,michael_schumacher,5	
German,damon_hill,1	
German,reutemann,1	
Italian,surtees,2	
Spanish,gilles_villeneuve,1	
Abu Dhabi,hamilton,3	
Malaysian,max_verstappen,1	
Belgian,ricciardo,1	
Monaco,peterson,1	
German,barrichello,1	
Canadian,hunt,1	
Australian,hamilton,2	
French,damon_hill,1	
British,herbert,1	
Brazilian,coulthard,1	
San Marino,piquet,1	
Japanese,button,1	
Japanese,piquet,1	
Monaco,panis,1	
Dutch,hill,1	
Monaco,moss,3	
European,hakkinen,1	
Monaco,patrese,1	
Turkish,massa,3	
French,jones,1	
Canadian,revson,1	
European,prost,1	
European,vettel,2	
German,mario_andretti,1	
South African,clark,3	
German,rosberg,1	
German,rindt,1	
Canadian,ricciardo,1	
German,webber,1	
Mexican,surtees,1	
Monaco,alonso,2	
South African,scheckter,1	
Swedish,scheckter,2	
Japanese,berger,2	
Detroit,watson,1	
British,stewart,2	
British,clark,5	
Portuguese,senna,1	
Chinese,alonso,2	
Monaco,button,1	
Indianapolis 500,ward,1	
Brazilian,webber,2	
French,ralf_schumacher,1	
Belgian,alboreto,1	
Belgian,raikkonen,4	
British,fangio,1	
Monaco,fangio,2	
Spanish,damon_hill,1	
United States,emerson_fittipaldi,1	
Belgian,vettel,2	
Mexican,hulme,1	
United States,hamilton,6	
Japanese,barrichello,1	
British,regazzoni,1	
Dutch,moss,1	
Indianapolis 500,parsons,1	
Hungarian,michael_schumacher,4	
Hungarian,kovalainen,1	
Austrian,jabouille,1	
Canadian,scheckter,1	
Austrian,lauda,1	
United States,jones,2	
Canadian,berger,1	
Spanish,hill,1	
Belgian,ascari,2	
German,laffite,1	
Monaco,senna,6	
Argentine,damon_hill,2	
Swiss,fangio,2	
Belgian,scheckter,1	
Austrian,emerson_fittipaldi,1	
European,mansell,1	
Mexican,mansell,2	
Belgian,emerson_fittipaldi,2	
Canadian,alboreto,1	
European,michael_schumacher,6	
Argentine,ascari,1	
German,moss,1	
European,massa,1	
Spanish,max_verstappen,1	
French,gurney,2	
Canadian,alesi,1	
Brazilian,lauda,1	
Monaco,hakkinen,1	
British,jones,1	
French,fangio,4	
Canadian,hakkinen,1	
Canadian,michael_schumacher,7	
Portuguese,michael_schumacher,1	
Portuguese,jack_brabham,1	
Monaco,rosberg,3	
Spanish,lauda,1	
Detroit,keke_rosberg,1	
Italian,piquet,4	
Spanish,button,1	
French,mario_andretti,2	
Spanish,mass,1	
Mexican,rosberg,1	
United States,watson,1	
Canadian,stewart,2	
French,stewart,3	
German,hill,1	
Argentine,mario_andretti,1	
Portuguese,villeneuve,1	
Belgian,hamilton,3	
Indianapolis 500,flaherty,1	
European,herbert,1	
Canadian,gilles_villeneuve,1	
Dutch,ickx,1	
French,rindt,1	
San Marino,patrese,1	
Japanese,alonso,2	
Italian,scarfiotti,1	
Indianapolis 500,vukovich,2	
Japanese,patrese,1	
Swedish,lauda,2	
Abu Dhabi,raikkonen,1	
Canadian,alonso,1	
Indianapolis 500,rathmann,1	
British,gonzalez,2	
German,clark,1	
United States,stewart,2	
Hungarian,senna,3	
Mexican,max_verstappen,1	
Australian,fisichella,1	
German,prost,2	
Belgian,farina,1	
Argentine,stewart,1	
British,barrichello,1	
Italian,emerson_fittipaldi,1	
United States,hill,3	
Italian,regazzoni,2	
Canadian,prost,1	
Hungarian,ricciardo,1	
Brazilian,rosberg,2	
Spanish,depailler,1	
Australian,prost,2	
Abu Dhabi,bottas,1	
British,senna,1	
Malaysian,ricciardo,1	
Austrian,villeneuve,1	
Japanese,mario_andretti,1	
Hungarian,damon_hill,2	
Spanish,prost,3	
Monaco,montoya,1	
Dutch,hunt,2	
British,raikkonen,1	
British,revson,1	
German,farina,1	
Italian,gethin,1	
Monaco,rindt,1	
Singapore,hamilton,3	
Bahrain,alonso,3	
Malaysian,hamilton,1	
Mexican,berger,1	
Hungarian,villeneuve,2	
United States,mario_andretti,1	
United States,rindt,1	
French,mansell,4	
Italian,arnoux,1	
Belgian,senna,5	
South African,hill,1	
Chinese,barrichello,1	
South African,gilles_villeneuve,1	
Dutch,pironi,1	
South African,prost,2	
Dutch,fangio,1	
South African,patrese,1	
German,hamilton,3	
United States,hakkinen,1	
Austrian,rosberg,2	
Portuguese,moss,2	
French,hawthorn,2	
Singapore,alonso,2	
German,fangio,3	
Belgian,coulthard,1	
Portuguese,mansell,3	
British,alonso,2	
European,ralf_schumacher,1	
Detroit,piquet,1	
United States,hunt,2	
Spanish,michael_schumacher,6	
German,regazzoni,1	
French,raikkonen,1	
British,emerson_fittipaldi,2	
German,hakkinen,1	
British,hamilton,5	
German,alonso,3	
Italian,berger,1	
Japanese,nannini,1	
French,peterson,2	
United States,regazzoni,1	
German,tambay,1	
Belgian,button,1	
Abu Dhabi,vettel,3	
Chinese,michael_schumacher,1	
Dutch,rindt,1	
Brazilian,damon_hill,1	
British,hakkinen,1	
Argentine,musso,1	
French,frentzen,1	
Japanese,hunt,1	
Monaco,trulli,1	
Argentine,emerson_fittipaldi,2	
Monaco,hamilton,2	
San Marino,michael_schumacher,7	
Dallas,keke_rosberg,1	
Italian,rosberg,1	
Chinese,hamilton,5	
Belgian,brooks,1	
Indianapolis 500,ruttman,1	
Austrian,mansell,1	
Belgian,clark,4	
Canadian,hulme,1	
Argentine,jones,1	
Argentine,fangio,4	
Austrian,brambilla,1	
German,mansell,2	
French,alonso,1	
Hungarian,piquet,2	
United States,prost,1	
British,rindt,1	
Austrian,bottas,1	
Swiss,taruffi,1	
Indian,vettel,3	
German,hulme,1	
Belgian,rosberg,1	
French,lauda,2	
Canadian,damon_hill,1	
French,michael_schumacher,8	
Bahrain,hamilton,2	
San Marino,angelis,1	
Mexican,gurney,1	
Azerbaijan,ricciardo,1	
San Marino,mansell,2	
British,reutemann,1	
South African,rodriguez,1	
Canadian,arnoux,1	
Italian,montoya,2	
German,lauda,1	
British,damon_hill,1	
Canadian,ralf_schumacher,1	
Canadian,kubica,1	
Italian,lauda,2	
Monaco,scheckter,2	
British,villeneuve,2	
Japanese,raikkonen,1	
Italian,fangio,3	
San Marino,prost,3	
Spanish,stewart,3	
Spanish,villeneuve,1	
South African,arnoux,1	
Turkish,raikkonen,1	
Brazilian,montoya,2	
Spanish,alonso,2	
Belgian,michael_schumacher,6	
Mexican,clark,2	
Italian,prost,3	
Italian,clark,1	
United States,cevert,1	
British,brooks,1	
French,hunt,1	
Australian,mansell,1	
United States,piquet,1	
Australian,rosberg,2	
Australian,hakkinen,1	
San Marino,damon_hill,2	
Austrian,hamilton,1	
Pescara,moss,1	
Canadian,ickx,2	
Canadian,vettel,1	
British,coulthard,2	
Spanish,hawthorn,1	
Malaysian,fisichella,1	
British,watson,1	
Brazilian,reutemann,3	
Australian,keke_rosberg,1	
Dutch,arnoux,1	
Brazilian,laffite,1	
Argentine,moss,1	
German,jones,1	
Austrian,watson,1	
Italian,alonso,2	
German,arnoux,1	
British,lauda,3	
Singapore,vettel,4	
Monaco,trintignant,2	
San Marino,alonso,1	
United States,vettel,1	
Portuguese,prost,3	
Belgian,watson,1	
Brazilian,massa,2	
Monaco,stewart,3	
Brazilian,senna,2	
British,trips,1	
Dutch,clark,4	
Monaco,keke_rosberg,1	
Italian,moss,3	
Portuguese,patrese,1	
Pacific,michael_schumacher,2	
Dutch,lauda,3	
Monaco,prost,4	
German,vettel,1	
Monaco,reutemann,1	
Austrian,coulthard,1	
South African,mario_andretti,1	
Abu Dhabi,rosberg,1	
